IMU,platform,station,stop_area,stop_position,yes
-0.443472372,NA,NA,NA,NA,NA
-0.387930949,NA,NA,NA,NA,NA
-0.783999376,NA,NA,NA,NA,NA
-0.415298826,NA,NA,NA,NA,NA
-0.49727826,NA,NA,NA,NA,NA
-0.751798637,NA,NA,NA,NA,NA
-0.853801942,NA,NA,NA,NA,NA
-0.282878412,NA,NA,NA,NA,NA
-0.274462476,NA,NA,NA,NA,NA
-0.683175087,NA,NA,NA,NA,NA
-0.602003547,NA,NA,NA,NA,NA
-0.585704944,NA,NA,NA,NA,NA
-0.786771888,NA,NA,NA,NA,NA
-0.509301685,NA,NA,NA,NA,NA
-0.312443806,NA,NA,NA,NA,NA
-1.067233831,NA,NA,NA,NA,NA
-1.037824155,NA,NA,NA,NA,NA
-0.70595613,NA,NA,NA,NA,NA
-0.548015593,NA,NA,NA,NA,NA
-0.499755454,NA,NA,NA,NA,NA
-0.5748772,NA,NA,NA,NA,NA
-0.938785849,NA,NA,NA,NA,NA
-1.109114819,NA,NA,NA,NA,NA
-0.952797753,NA,NA,NA,NA,NA
-0.680731591,NA,NA,NA,NA,NA
-0.714574339,NA,NA,NA,NA,NA
-0.630219205,NA,NA,NA,NA,NA
-0.66975573,NA,NA,NA,NA,NA
-0.620969764,NA,NA,NA,NA,NA
-0.643511185,NA,NA,NA,NA,NA
-0.986470146,NA,NA,NA,NA,NA
-0.589510723,NA,NA,NA,NA,NA
-0.373295921,NA,NA,NA,NA,NA
-0.716862321,NA,NA,NA,NA,NA
-0.502091074,NA,NA,NA,NA,NA
-0.461431112,NA,NA,NA,NA,NA
-0.98362756,NA,NA,NA,NA,NA
-0.536934881,NA,NA,NA,NA,NA
-0.505688511,NA,NA,NA,NA,NA
